"H01","H02","H03","H04","H06","H13","H15","H17","H25","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2019","Y2020","Y2021"
"P1101","Agricultural survey","INCTOT11","Agriculture, Hunting and related services","Total income","South Africa","Current prices","R'000","Annually","","","","","164363379","192162153","216669487","250193551","278143676","314025788","356799589","372838956","417084515"
"P1101","Agricultural survey","INCSAL11","Agriculture, Hunting and related services","Total income from sales of goods","South Africa","Current prices","R'000","Annually","95224237","119193813","122550225","131433944","","","191608956","222312002","244431262","276465561","321525236","330898187","372884115"
"P1101","Agricultural survey","INCFC11","Agriculture, Hunting and related services","Sales of field crops","South Africa","Current prices","R'000","Annually","19839530","27855687","26505562","25805384","31355576","41291478","45401744","50435070","53796134","59190640","63650548","65498828","81361326"
"P1101","Agricultural survey","INCHOT11","Agriculture, Hunting and related services","Sales Horticulture crops","South Africa","Current prices","R'000","Annually","24045202","29237110","29552231","31964231","32097987","39046685","45447184","52671359","60841859","70543358","87527444","88414750","106096189"
"P1101","Agricultural survey","INCHOTP11","Agriculture, Hunting and related services","Sales of horticultural products","South Africa","Current prices","R'000","Annually","","","","","","","2258619","3051586","3798366","3441126","3750151","4339627","4302472"
"P1101","Agricultural survey","INCANPT11","Agriculture, Hunting and related services","Sales of animals and animal products","South Africa","Current prices","R'000","Annually","51339505","62101016","64609979","71850289","82794336","86479414","94062339","109538531","118783722","128766904","147606037","151586760","159335534"
"P1101","Agricultural survey","INCANIM11","Agriculture, Hunting and related services","Sales of animals","South Africa","Current prices","R'000","Annually","40046503","48645918","50374927","57629483","","","49745529","61183862","66693878","72597991","82720040","79276216","84853852"
"P1101","Agricultural survey","INCANIP11","Agriculture, Hunting and related services","Sales of animal products","South Africa","Current prices","R'000","Annually","11293002","13455098","14235052","14220806","","","44316810","48354669","52089844","56168913","64885997","72310544","74481682"
"P1101","Agricultural survey","INCOTHAGR11","Agriculture, Hunting and related services","Sales of other agricultural products","South Africa","Current prices","R'000","Annually","","","1882453","1814040","","","4439070","6615456","7211181","6782081","11002252","12194412","12056279"
"P1102","Agricultural survey","INCOTHSA11","Agriculture, Hunting and related services","Other sales of goods","South Africa","Current prices","R'000","Annually","","","","","","","","","","7741452","7988805","8863810","9732315"
"P1101","Agricultural survey","INCSEV11","Agriculture, Hunting and related services","Income from services rendered","South Africa","Current prices","R'000","Annually","","","","","2030986","","6208013","7509010","8971090","11624860","9315451","10745100","12975114"
